"Front";"Back";"Tags";"Difficulty";"Source"
"State Satz 6.7.6: 6.7. Uneigentliche Integrale.";"Die Γ-Funktion erfüllt die folgenden Eigenschaften: (a) Γ(s + 1) = sΓ(s), (b) Γ(1) = 1, (c) Γ(n) = (n − 1)!.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-6-7 ch-6";"3";"PDF p111; section 6.7. Uneigentliche Integrale"
"State Satz 6.7.7: Integralkriterium für Reihen-Konvergenz.";"Sei f : [m,\infty ) \to [0,\infty ), m \in N eine monoton fal- lende Funktion. Dann gilt 0 \le limn→\infty [ n\sum k= m f (k) − ∫ n+ 1 m f (x) dx ] \le f (m) . Insbesondere konvergiert \sum k\gem f (k) genau dann, wenn ∫ \infty m f (x) dx konvergiert. ANALYSIS I-III, 2011/2013 110\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-6-7 ch-6 integralkriterium für reihen";"3";"PDF p111; section 6.7. Uneigentliche Integrale"
"What pattern is shown in Beispiel 6.7.8?";"Improper integrals and convergence criteria.\n\nSource: f : [1,\infty ) \to R, f (x) = 1 xs , s > 0 ist monoton fallend. Nach dem Integralkriterium gilt: ∫ \infty 1 1 xs dx konvergiert genau dann, wenn \sum n\ge1 1 ns konvergiert . Wir wussten schon, dass beides genau dann zutrifft, wenn s > 1 ist (siehe Beispiel 3.2.2). Nun außerdem: Mit ζ(s) = \sum\infty n= 1 1 ns gilt 0 \le ζ(s) − ∫ \infty 1 1 xs dx \le f (1) = 1. Daraus folgt ζ(s) \le 1 + 1 s − 1 = s s − 1 . Für s = 1 erhalten wir die Existenz des Limes limn→\infty ( n\sum k= 1 1 k − ∫ n+ 1 1 1…";"beispiel sec-6-7 ch-6 abschätzung für die";"2";"PDF p112; section 6.7. Uneigentliche Integrale"
"Define \sumn k= 1 f (Def 6.9.1).";"Sei Z = {a = x0 < x1 < . . .< xn− 1 < xn = b} eine Zerlegung von [ a, b]. Sei \xik \in [xk− 1, xk] für k = 1, . . . ,n. (i) Für f : [a, b] \to C heißt \sumn k= 1 f (\xik)(xk − xk− 1) die Riemannsche Summe zu f bezüglich der Zer- legung Z und der Stützstellen \xi1, . . . ,\xik. (ii) Die Feinheit von Z ist definiert als max {| xk − xk− 1| : k = 1, . . . ,n}. (iii) Eine Funktion f : [ a, b] \to C heißt Riemann-integrierbar, wenn es eine Zahl I \in C mit der folgenden Eigenschaft gibt: Zu jedem \varepsilon > 0 gibt es δ > 0 so, dass für jede Zerlegung Z = {x0, . . . ,xn} ANALYSIS I-III, 2011/2013 113 mit Feinheit < δ und für jede Wahl von Stützstellen \xik \in [xk− 1, xk] ( k = 1, . . . ,n) gilt: ⏐ ⏐ ⏐ n\sum k= 1 f (\xik)(xk − xk− 1) − I ⏐ ⏐ ⏐ < \varepsilon. In diesem Fall heißt I := R- ∫ b a f (x) dx das Riemann-Integral von f .\n\nIntuition: This definition gives precise language for the topic of notes on the riemann integral.";"definition sec-6-9 ch-6";"1";"PDF p114; section 6.9. Notizen: Der Riemannsche Integralbegriff"
"State Satz 6.9.3: 6.9. Notizen: Der Riemannsche Integralbegriff.";"Sei f \in R([a, b]). Dann ist f auch Riemann-integrierbar , und R- ∫ b a f dx = ∫ b a f dx . Insbesondere konvergieren die Riemannschen Summen zu eine r Zerlegungsfolge mit gegen Null konvergie- render Feinheit gegen das Regelintegral von f . Als Anwendung von Satz 6.9.3 ergibt sich ein sehr kurzer Bewe is der Hölderschen und Minkowskischen Un- gleichungen für Integrale.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-6-9 ch-6";"3";"PDF p115; section 6.9. Notizen: Der Riemannsche Integralbegriff"
"Define unnamed definition in 6.9 (Def 6.9.4).";"Sei f \in R([a, b]) und p ≥ 1. Die p-Norm von f ist definiert als \| f \|p := (∫ b a | f | p dx )1/p .\n\nIntuition: This definition gives precise language for the topic of notes on the riemann integral.";"definition sec-6-9 ch-6";"1";"PDF p115; section 6.9. Notizen: Der Riemannsche Integralbegriff"
"State Satz 6.9.5: Höldersche und Minkowskische Ungleichungen.";"Seien f , g \in R([a, b]) und p, q \in R+ mit 1 p + 1 q = 1. Dann gilt : ∫ b a | f g| dx \le \| f \|p\|g\|q ,(6.12) \| f + g\|p \le \| f \|p + \| g\|p .(6.13) Für p = q = 2 heißt (6.12) die Cauchy-Schwarz-Ungleichung für Integrale.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-6-9 ch-6 höldersche und minkowskische";"3";"PDF p115; section 6.9. Notizen: Der Riemannsche Integralbegriff"
"Define konvex (Def 7.1.1).";"Eine Funktion f : I \to R heißt konvex, wenn für alle Tripel x0, x, x1 aus I mit x0 < x < x1 gilt: (7.1) f (x) \le x1 − x x1 − x0 f (x0) + x − x0 x1 − x0 f (x1) . f heißt streng konvex, falls für alle solchen Tripel die Ungleichung (7.1) streng ist. ANALYSIS I-III, 2011/2013 115 f heißt konkav, wenn − f konvex ist (d.h. (7.1) gilt mit \ge). f heißt streng konkav , wenn − f streng konvex ist (d.h. (7.1) gilt mit >).\n\nIntuition: This definition gives precise language for the topic of convexity, jensen-type ideas, young, holder, minkowski, and norm inequalities.";"definition sec-7-1 ch-7";"1";"PDF p116; section 7.1. Konvexität und wichtige Ungleichungen"
"State Lemma 7.1.3: 7.1. Konvexität und wichtige Ungleichungen.";"Sei f : I \to R. Die folgenden Aussagen sind äquivalent: (1) f ist konvex. (2) Für alle x0 < x < x1 in I gilt : f (x) − f (x0) x − x0 \le f (x1) − f (x) x1 − x . (3) Für alle x0 < x < x1 in I gilt : f (x) − f (x0) x − x0 \le f (x1) − f (x0) x1 − x0 \le f (x1) − f (x) x1 − x .\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"lemma sec-7-1 ch-7";"3";"PDF p117; section 7.1. Konvexität und wichtige Ungleichungen"
"State Satz 7.1.4: Konvexitätskriterium I.";"Sei f : [a, b] \to R stetig und auf (a, b) differenzierbar . Dann gilt: (1) f ist konvex \Longleftrightarrow f ′ ist monoton wachsend auf (a, b)., (2) f ′ ist streng monoton wachsend auf (a, b) \Longleftrightarrow f ist streng konvex.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-7-1 ch-7 konvexitätskriterium i";"3";"PDF p117; section 7.1. Konvexität und wichtige Ungleichungen"
"State Satz 7.1.5: Konvexitätskriterium II.";"Sei f : [a, b] \to R stetig und auf (a, b) zweimal differenzierbar . Dann gilt : (1) f konvex \Longleftrightarrow f ′′\ge 0, (2) f ′′> 0 \Rightarrow f streng konvex.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-7-1 ch-7 konvexitätskriterium ii";"3";"PDF p117; section 7.1. Konvexität und wichtige Ungleichungen"
"Define unnamed definition in 7.1 (Def 7.1.6).";"Sei f : I \to R, und sei x0 \in I ein innerer Punkt. Die Funktion f hat in x0 einen Wende- punkt, wenn f stetig in x0 ist und ( α, β) \subset I existiert, so dass f konvex auf ( α, x0) und konkav auf ( x0, β) ist oder umgekehrt.\n\nIntuition: This definition gives precise language for the topic of convexity, jensen-type ideas, young, holder, minkowski, and norm inequalities.";"definition sec-7-1 ch-7";"1";"PDF p117; section 7.1. Konvexität und wichtige Ungleichungen"
"State Satz 7.1.7: 7.1. Konvexität und wichtige Ungleichungen.";"Sei f : (a, b) \to R, und sei x0 \in (a, b). (i) Ist f zweimal differenzierbar und existiert (α, β) \subset I mit f ′′\ge 0 auf (α, x0) und f ′′\le 0 auf (x0, β) (oder umgekehrt), dann ist x0 ein Wendepunkt. (ii) Ist f 3-mal stetig differenzierbar und gilt f ′′(x0) = 0 und f ′′′(x0) ̸= 0, dann ist x0 ein Wendepunkt.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-7-1 ch-7";"3";"PDF p117; section 7.1. Konvexität und wichtige Ungleichungen"
"State Satz 7.1.8: Jensensche Ungleichung.";"Eine Funktion f : I \to R ist konvex genau dann, wenn für alle n \in N, alle x1, x2, . . . ,xn \in I und alle \lambda1, \lambda2, . . . ,\lambdan \ge 0 mit \sumn k= 1 \lambdak = 1 gilt : f ( n\sum k= 1 \lambdak xk ) \le n\sum k= 1 \lambdak f (xk) .\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-7-1 ch-7 jensensche ungleichung";"3";"PDF p117; section 7.1. Konvexität und wichtige Ungleichungen"
"State Satz 7.1.10: AGM-Ungleichung.";"Seien \lambda1, \lambda2, . . . ,\lambdan > 0 mit \sumn k= 1 \lambdak = 1. Dann gilt für alle x1, . . . ,xn > 0 : x\lambda1 1 · · ·x\lambdan n \le \lambda1x1 + . . .+ \lambdan xn . Gleichheit gilt genau dann, wenn x1 = . . .= xn. Für \lambda1 = . . .= \lambdan = 1 n erhalten wir die klassische AGM-Ungleichung ( ??). 6Wir nennen \varphi Parametrisierung. ANALYSIS I-III, 2011/2013 116\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-7-1 ch-7 agm ungleichung";"3";"PDF p117; section 7.1. Konvexität und wichtige Ungleichungen"
"State Folgerung 7.1.11: Youngsche Ungleichung.";"Seien p, q > 1 mit 1 p + 1 q = 1. Dann gilt für alle x, y > 0 : (7.2) x1/p y1/q \le x p + y q · Gleichheit gilt genau dann, wenn x = y. Man kann die Y oungsche Ungleichung auch folgendermaßen for mulieren: (7.3) x y\le x p p + yq q , für alle x, y \ge 0 mit Gleichheit, genau dann, wenn x p = yq.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"folgerung sec-7-1 ch-7 youngsche ungleichung";"3";"PDF p118; section 7.1. Konvexität und wichtige Ungleichungen"
"Define \|z\|p (Def 7.1.12).";"Sei z = (z1, . . . ,zn) \in Cn, p \ge 1. Dann heißt \|z\|p := (| z1| p + . . .+ | zn| p)1/p die p-Norm von z. Für p = 1 also: \|z\|1 = \sumn j= 1 | z j| ; für p = 2: \|z\|2 = (\sumn j= 1 | z j| 2)1/2. Letzteres ist die eukli- dische Norm von z.\n\nIntuition: This definition gives precise language for the topic of convexity, jensen-type ideas, young, holder, minkowski, and norm inequalities.";"definition sec-7-1 ch-7";"1";"PDF p118; section 7.1. Konvexität und wichtige Ungleichungen"
"Define Norm (Def 7.1.13).";"Sei V ein K-VR ( K = R oder C). Eine Abbildung V \to R, v \mapsto \|v\| heißt Norm, falls gilt: (N1) \|v\| \ge 0 für alle v \in V , und aus \|v\| = 0 folgt v = 0, (N2) \|\lambdav\| = | \lambda|\| v\| für alle \lambda \in K, v \in V , (N3) \|v + w\| \le \|v\| + \| w\| für alle v, w \in V . (Dreiecksungleichung) Unser Ziel ist es nun, zu zeigen, dass \|·\|p eine Norm ist. Dazu brauchen wir die Höldersche Ungleichung .\n\nIntuition: This definition gives precise language for the topic of convexity, jensen-type ideas, young, holder, minkowski, and norm inequalities.";"definition sec-7-1 ch-7";"1";"PDF p118; section 7.1. Konvexität und wichtige Ungleichungen"
"State Satz 7.1.14: Höldersche Ungleichung.";"If $p,q>1$ and $1/p+1/q=1$, then $\sum |z_kw_k|\le \|z\|_p\|w\|_q$.\n\nUse: Supports norm inequalities and functional estimates.";"satz sec-7-1 ch-7 high-yield höldersche ungleichung";"4";"PDF p118; section 7.1. Konvexität und wichtige Ungleichungen"
"State Satz 7.1.15: Minkowski-Ungleichung.";"For $p\ge1$, $\|z+w\|_p\le \|z\|_p+\|w\|_p$.\n\nUse: Shows $\|\cdot\|_p$ is a norm.";"satz sec-7-1 ch-7 high-yield minkowski ungleichung";"4";"PDF p118; section 7.1. Konvexität und wichtige Ungleichungen"
"Define Metrik (Def 7.2.1).";"A metric $d:X\times X\to\mathbb R$ is positive definite, symmetric, and satisfies the triangle inequality.\n\nIntuition: A metric abstracts distance.";"definition sec-7-2 ch-7 high-yield";"2";"PDF p118; section 7.2. Metrische und normierte Räume"
"What pattern is shown in Beispiel 7.2.2?";"Metric and normed spaces, convergence, Cauchy sequences, completeness, and equivalent norms.\n\nSource: (1) X = R oder X = C, d(x, y) = | x − y| . (2) Auf X = Rn oder X = Cn definieren wir die lp-Metrik: d p(x, y) := \| x − y\|p = ( \sum | xi − yi| p)1/p für ein p \ge 1. Dreiecksungleichung: \|x− z\|p = \| x− y+ y− z\|p \le \|x− y\|p +\| y− z\|p für p \ge 1 wegen der Minkowski-Ungleichung. Für p = 2 heißt d2 die euklidische Metrik auf Rn (bzw .Cn). Das ist das wichtigste Beispiel einer Metrik in Analysis II. Die Metrik d1 wird manchmal die Manhattan-Metrik genannt. /0/0/0/0 /0/0/0/0 /0/0/0/0 /0/0…";"beispiel sec-7-2 ch-7";"2";"PDF p119; section 7.2. Metrische und normierte Räume"
"Define Skalarprodukt (Def 7.2.3).";"Sei V ein K-Vektorraum ( K = R oder C). Eine Abbildung V × V \to K, ( v, w) \mapsto 〈v, w〉 heißt Skalarprodukt, falls gilt: (i) Die Abbildung 〈·, w〉: V → K ist K-linear für alle w \in V , (ii) 〈v, w〉 = 〈w, v〉 für alle v, w \in V , (iii) 〈v, v〉 >0 für alle v \in V \ {0}. 7.2.4. Beispiele. Beispiele von Skalarprodukträumen: • (Rn,〈·,·〉) mit 〈x, y〉 = \sumxi yi , (Cn,〈·,·〉) mit 〈x, y〉 = \sumxi yi , • (l2,〈·,·〉) mit 〈(xn)n,(yn)n〉 = \sum\infty n= 0 xn yn , • (C0[a, b],〈·,·〉) mit 〈f , g〉 = ∫ b a f (x)g(x) dx .\n\nIntuition: This definition gives precise language for the topic of metric and normed spaces, convergence, cauchy sequences, completeness, and equivalent norms.";"definition sec-7-2 ch-7";"1";"PDF p120; section 7.2. Metrische und normierte Räume"
"State Satz 7.2.5: 7.2. Metrische und normierte Räume.";"Sei (V ,〈·,·〉) ein Skalarproduktraum. Sei \|x\| := \sqrt〈x, x〉. (a) Für alle x, y \in V gilt |〈 x, y〉| \le \|x\| · \|y\| (Schwarzsche Ungleichung). Die Gleichheit gilt genau dann, wenn x, y linear abhängig sind. (b) \| · \|ist eine Norm auf V .\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-7-2 ch-7";"3";"PDF p120; section 7.2. Metrische und normierte Räume"
"Define konvergent (Def 7.2.6).";"Sei ( X , d) ein metrischer Raum; eine Folge ( xn)n\inN in X heißt konvergent, falls es x \in X gibt so, dass zu jedem \varepsilon > 0 ein n0 = n0(\varepsilon) existiert mit d(xn, x) < \varepsilon für alle n \ge n0(\varepsilon). Dann heißt x Grenzwert der Folge, limn→\infty xn = x. Eine Folge ( xn) heißt Cauchy-Folge, falls gilt: \forall \varepsilon > 0 \existsn0 = n0(\varepsilon) so, dass d(xn, xm) < \varepsilon für alle m, n > n0(\varepsilon). Die Definition ist wortwörtlich die gleiche wie die Konverge nz von reellen Folgen, der einzige Unterschied ist, dass wir den Absolutbetrag | xn − x| durch den Abstand d(xn, x) ersetzt haben. Daher konvergiert ( xn)n in (R, d2) oder ( C, d2) genau dann, wenn ( xn)n im Sinne der Definition 2.1.1 konvergiert. Nachdem der Absta nd die gleichen Eigenschaften wie der Absolutbetrag erfüllt, erhalten wir die gleichen Aussagen. Beispielsweise beweist man wortwörtlich wie im in Analysis I, dass: (i) Der Grenzwert ist eindeutig bestimmt. (ii) Jede konvergente Folge ist eine Cauchy-Folge.\n\nIntuition: This definition gives precise language for the topic of metric and normed spaces, convergence, cauchy sequences, completeness, and equivalent norms.";"definition sec-7-2 ch-7";"1";"PDF p121; section 7.2. Metrische und normierte Räume"
"State Satz 7.2.7: 7.2. Metrische und normierte Räume.";"Sei (x(k))k eine Folge in Rn, x(k) = (x(k) 1 , . . . ,x(k) n ) \in Rn. Dann gilt lim k→\infty x(k) = x in (Rn, d2) \Longleftrightarrow \forall i lim k→\infty x(k) i = xi in R Ist (x(k))k eine Cauchy-Folge in (Rn, d2) genau dann, wenn für jedes i = 1, . . . ,n die Folge (x(k) i )k eine Cauchy- Folge in R ist.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-7-2 ch-7";"3";"PDF p121; section 7.2. Metrische und normierte Räume"
"What pattern is shown in Beispiel 7.2.8?";"Metric and normed spaces, convergence, Cauchy sequences, completeness, and equivalent norms.\n\nSource: Konvergenz in ( B(D),\| · \|D ) bedeutet gleichmäßige Konvergenz der Funktionen.";"beispiel sec-7-2 ch-7";"2";"PDF p121; section 7.2. Metrische und normierte Räume"
"Define Vollständigkeit in metrischen Räumen (Def 7.2.9).";"A metric space is complete if every Cauchy sequence converges in the space.\n\nIntuition: The space has no missing Cauchy limits.";"definition sec-7-2 ch-7 high-yield";"2";"PDF p121; section 7.2. Metrische und normierte Räume"
"State Satz 7.2.11: 7.2. Metrische und normierte Räume.";"(Rn, d2) ist vollständig (d.h. (Rn,\| · \|2) ist ein Banachraum, (Rn,〈·,·〉) Hilbertraum).\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-7-2 ch-7";"3";"PDF p122; section 7.2. Metrische und normierte Räume"
"State Satz 7.2.12: 7.2. Metrische und normierte Räume.";"(B(D), dD ) ist vollständig, d. h. (B(D),\| · \|D ) ist ein Banachraum. (C0([a, b]), d[a,b]) ist voll- ständig, d. h. (C0([a, b]),\| · \|[a,b]) ist ein Banachraum.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-7-2 ch-7";"3";"PDF p122; section 7.2. Metrische und normierte Räume"
"Define beschränkt (Def 7.2.13).";"Eine Menge A \subset (X , d) heißt beschränkt, wenn es x0 \in A und M = M(x0) > 0 gibt so, dass d(x, x0) \le M für alle x \in A. Bemerkung. (1) Ist ( V ,\| · \|) ein NVR, so ist A \subset V beschränkt (bzgl. der Norm-Metrik) genau dann, wenn es M > 0 gibt so, dass \|x\| \le M für alle x \in A. (2) A \subset (R, d2) ist beschränkt genau dann, wenn A im üblichen Sinne beschränkt ist. (3) Sei pr i : Rn → R, pr i(x) = xi die Projektion auf die i-te Achse. A \subset (Rn, d2) ist beschränkt genau dann, wenn für jedes i = 1, . . . ,n die Menge pr i(A) beschränkt in R ist.\n\nIntuition: This definition gives precise language for the topic of metric and normed spaces, convergence, cauchy sequences, completeness, and equivalent norms.";"definition sec-7-2 ch-7";"1";"PDF p122; section 7.2. Metrische und normierte Räume"
"State Satz 7.2.14: Bolzano-Weierstraß in Rn.";"Jede beschränkte Folge in (Rn, d2) besitzt eine konvergente Teil- folge.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-7-2 ch-7 bolzano weierstraß in";"3";"PDF p122; section 7.2. Metrische und normierte Räume"
"Define unnamed definition in 7.2 (Def 7.2.15).";"Zwei Normen \| · \|, \| · \|∗ auf einem Vektorraum V heißen äquivalent , geschrieben \| · \| ∼ \| · \|∗ , wenn es zwei Konstanten c1, c2 > 0 gibt mit c1\|x\| \le \|x\|∗ \le c2\|x\| für alle x \in V . Dies ist eine Äquivalenzrelation. Ist \| · \| ∼ \| · \|∗ , so gilt: ( xn)n ist konvergent gegen x (bzw . Cauchy-Folge) in (V ,\| · \|) genau dann, wenn (xn)n konvergent gegen x (bzw . Cauchy-Folge) in (V ,\| · \|∗ ) ist.\n\nIntuition: This definition gives precise language for the topic of metric and normed spaces, convergence, cauchy sequences, completeness, and equivalent norms.";"definition sec-7-2 ch-7";"1";"PDF p123; section 7.2. Metrische und normierte Räume"
"State Satz 7.2.16: 7.2. Metrische und normierte Räume.";"Sei V ein endlichdimensionaler K-Vektorraum (K = R,C). Dann gilt: (i) Je zwei Normen auf V sind äquivalent. (ii) ( V ,\| · \|) ist ein Banachraum für jede Norm auf V . Wieso interessieren wir uns für äquivalente oder vergleich bare Normen? Der Grund ist, dass wir die Kon- vergenz untersuchen möchten. Gilt die Ungleichung \| · \|\le C\| · \|∗ , so ist jede bezüglich \| · \|∗ konvergente Folge auch konvergent bezüglich \|·\|; gilt \|·\| ∼ \|·\|∗ , so stimmen die konvergenten Folgen in beiden Normen überei n. Zum Beispiel bedeutet der Satz „ ∫ b a f n dx \to ∫ b a f dx falls ( f n)n, f n \in C([a, b]) gleichmäßig auf [ a, b] gegen f konvergiert“ nichts anderes, als dass jede konvergente Fol ge in ( C([a, b]),\| · \|[a,b]) auch in ( C([a, b]),\| · \|1) (wobei \| f \|1 = ∫ b a | f (x)| dx) konvergiert. Dies folgt aus der Abschätzung \| f \|1 \le (b − a)\| f \|[a,b] für f \in C([a, b]). Übrigens sind die Normen \| · \|[a,b] und \| · \|1 jedoch nicht äquivalent: Die Folge ( f n), f n(t) = tn konvergiert in \| · \|1 gegen 0, aber konvergiert nicht in \| · \|[a,b]. Ein anderes Argument: ( C([a, b]),\| · \|[a,b]) ist vollständig, (C([a, b]),\| · \|1) jedoch nicht (siehe Aufgabe 7.7.5).\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-7-2 ch-7";"3";"PDF p123; section 7.2. Metrische und normierte Räume"
"Define s = limn→\infty sn die Summe der Reihe (Def 7.2.17).";"Sei ( V ,\| · \|) ein normierter Vektorraum. Ein Paar ( xn)n\ge0, ( sn)n\ge0 wird eine Reihe genannt, wenn sn = x0 + . . .+ xn. Die Reihe wird durch \sum n\ge0 xn bezeichnet. Wir sagen, dass die Reihe\sum n\ge0 xn konvergiert, wenn ( sn)n\ge0 konvergiert. Dann heißt s = limn→\infty sn die Summe der Reihe. Wir schreiben s = \sum\infty n= 0 xn. Eine Reihe \sum n\ge0 xn heißt absolut konvergent, wenn \sum n\ge0 \|xn\| in R konvergiert.\n\nIntuition: This definition gives precise language for the topic of metric and normed spaces, convergence, cauchy sequences, completeness, and equivalent norms.";"definition sec-7-2 ch-7";"1";"PDF p123; section 7.2. Metrische und normierte Räume"
"State Satz 7.2.18: 7.2. Metrische und normierte Räume.";"Sei (V ,\| · \|) ein Banachraum. Dann gilt: (i) (Cauchy-Kriterium) \sum n\ge0 xn konvergiert genau dann, wenn es für alle \varepsilon > 0 ein n0 = n0(\varepsilon) gibt so, dass für alle m > n \ge n0 gilt: \| \summ k= n+ 1 xk\| < \varepsilon. (ii) Ist \sum n\ge0 xn absolut konvergent, dann ist \sum n\ge0 xn konvergent. Der Beweis läuft wie für Reihen reeler Zahlen; man soll nur üb erall den Betrag | · | mit der Norm \| · \|erset- zen.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-7-2 ch-7";"3";"PDF p123; section 7.2. Metrische und normierte Räume"
"Define normierte K-Algebra (Def 7.2.19).";"Ein normierter K-Vektorraum (V ,\| · \|) heißt normierte K-Algebra, wenn es eine as- soziative Verknüpfung V × V \to V , ( x, y) \mapstox y gibt so, dass \|x y\| \le \|x\| · \|y\| für alle x, y \in V . Ist ( V ,\| · \|) zugleich ein Banachraum, so heißt ( V ,\| · \|) eine Banachalgebra. Beispiele: V = Mn× n(K) mit der Multiplikation der Matrizen und Norm \|A\|2 = (\sumn i, j= 1 | ai j| 2)1/2 i st eine Bana- chalgebra. Auch ( B(D),\| · \|D ) und ( C0([a, b]),\| · \|[a,b]) sind Banachalgebren. ANALYSIS I-III, 2011/2013 122\n\nIntuition: This definition gives precise language for the topic of metric and normed spaces, convergence, cauchy sequences, completeness, and equivalent norms.";"definition sec-7-2 ch-7";"1";"PDF p123; section 7.2. Metrische und normierte Räume"
"State Satz 7.2.20: 7.2. Metrische und normierte Räume.";"Sei (V ,\| · \|) eine Banachalgebra mit Einselement e. Ist \|x\| < 1, so ist e − x invertierbar , und es gilt (e − x)− 1 = \sum\infty n= 0 xn = e + x + x2 + . . .\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-7-2 ch-7";"3";"PDF p124; section 7.2. Metrische und normierte Räume"
"State Satz 7.2.21: Cauchy-Produkt von Reihen.";"Sei (V ,\| · \|) eine Banachalgebra. Seien \sum k\ge0 ak und \sum k\ge0 bk absolut konvergente Reihen in (V ,\| · \|). Setze cn = n\sum k= 0 ak bn− k = a0bn + a1bn− 1 + . . .+ anb0. Dann ist \sum n\ge0 cn absolut konvergent, und \sum\infty n= 0 cn = (\sum\infty k= 0 ak )(\sum\infty k= 0 bk ) . Der Beweis läuft wie für Reihen komplexer Zahlen in der Analy sis 1. Eine wichtige Anwendung ist der Beweis der Funktionalgleichung des Exponentials für Matrizen: Fü r zwei kommutierende Matrizen A, B \in Mn× n(R), d.h. AB = B A gilt eA+ B = eA eB.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-7-2 ch-7 cauchy produkt von";"3";"PDF p124; section 7.2. Metrische und normierte Räume"
"What pattern is shown in Beispiel 7.2.22?";"Metric and normed spaces, convergence, Cauchy sequences, completeness, and equivalent norms.\n\nSource: Als weiteres Beispiel betrachten wir A \in Mn× n(K) mit \|A\|2 < 1. Dann konvergiert die geo- metrische Reihe \infty\sum k= 0 Ak = (Id− A)− 1 also (\sum\infty k= 0 Ak)2 = (Id− A)− 2. Wir berechnen das Cauchy-Produkt: ( \infty\sum k= 0 Ak )2 = ( \infty\sum k= 0 Ak )( \infty\sum l= 0 Al ) = \infty\sum n= 0 ( A0 An + . . .+ An A0) = \infty\sum n= 0 (n + 1)An = \infty\sum k= 1 kA k− 1. Der Satz über das Cauchy-Produkt liefert: \infty\sum k= 1 kA k− 1 = (Id− A)− 2. 7.3. Topologie eines metrischen Ra…";"beispiel sec-7-2 ch-7";"2";"PDF p124; section 7.2. Metrische und normierte Räume"
"Define Offene Menge (Def 7.3.1).";"A set is open if every point has an epsilon-ball contained in the set.\n\nIntuition: Every point has local room to move without leaving the set.";"definition sec-7-3 ch-7 high-yield";"2";"PDF p124; section 7.3. Topologie eines metrischen Raumes. Topologische Räume."
"Define offen (Def 7.3.2).";"Sei ( X , d) ein metrischer Raum. Eine Teilmenge U \subset X heißt offen (bezüglich d) : \Longleftrightarrow für jedes a \in U gibt es r > 0 mit Br(a) \subset U. Eine Teilmenge F \subset X heißt abgeschlossen :\Longleftrightarrow X \setminus F ist offen. M a r offen b r nicht offen In der rechten Skizze ist eine offene Menge dargestellt. In d er rechten Skizze liegt der Punkt b \in M auf dem “Rand” von M. Jede Kugel um b enthält Punkte ausserhalb von M. Daher ist M nicht offen. Beispiele: (1) Offene Intervalle in ( a, b) \subset R, mit −\infty ≤ a < b ≤ \infty , sind offen in ( R, d2).\n\nIntuition: This definition gives precise language for the topic of open/closed sets, neighborhoods, interior, closure, boundary, topological spaces, subspace topology.";"definition sec-7-3 ch-7";"1";"PDF p125; section 7.3. Topologie eines metrischen Raumes. Topologische Räume."
"State Satz 7.3.3: 7.3. Topologie eines metrischen Raumes. Topologische Räume..";"Sei (X , d) ein metrischer Raum. Dann gilt: (1) X und die leere Menge \emptysetsind offen. (2) Die Vereinigung beliebig vieler offener Mengen ist offen. (3) Der Durchschnitt endlich vieler offener Mengen ist offen. (1’) X und die leere Menge \emptysetsind abgeschlossen. (2’) Die Vereinigung endlich vieler abgeschlossener Mengen ist abgeschlossen. (3’) Der Durchschnitt beliebig vieler abgeschlossener Mengen i st abgeschlossen.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-7-3 ch-7";"3";"PDF p126; section 7.3. Topologie eines metrischen Raumes. Topologische Räume."
"State Satz 7.3.5: 7.3. Topologie eines metrischen Raumes. Topologische Räume..";"Die Menge F ist abgeschlossen genau dann, wenn für jede Folge (xn)n in F, die in X konver- giert, gilt: limn→\infty xn \in F.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-7-3 ch-7";"3";"PDF p127; section 7.3. Topologie eines metrischen Raumes. Topologische Räume."
